url,eventDate,eventType,price,MLS
https://www.redfin.ca/on/ottawa/104-Lumen-Pl-K1C-1T1/home/180228569,"Feb 3, 2025",Listed (Active),"$964,990",X11960725
https://www.redfin.ca/on/ottawa/104-Manhattan-Cres-K2C-4B7/home/148785236,"Dec 28, 2024",Sold (MLS) (Closed),"$479,000",X9523894
https://www.redfin.ca/on/ottawa/104-Manhattan-Cres-K2C-4B7/home/148785236,"Dec 17, 2024",Price Changed,"$489,000",X9523894
https://www.redfin.ca/on/ottawa/104-Manhattan-Cres-K2C-4B7/home/148785236,"Dec 3, 2024",Price Changed,"$474,000",X9523894
https://www.redfin.ca/on/ottawa/104-Manhattan-Cres-K2C-4B7/home/148785236,"Nov 1, 2024",Listed (Active),"$499,900",X9523894
https://www.redfin.ca/on/ottawa/104-Manhattan-Cres-K2C-4B7/home/148785236,"Nov 1, 2024",Delisted,—,X9523894
https://www.redfin.ca/on/ottawa/104-Manhattan-Cres-K2C-4B7/home/148785236,"Oct 24, 2024",Listed (Active),"$499,900",X9523894
https://www.redfin.ca/on/ottawa/104-McDermot-Crt-K2L-3V2/home/149837696,"Jul 8, 2024",Sold (MLS),"$379,000",X9425678
https://www.redfin.ca/on/ottawa/104-McDermot-Crt-K2L-3V2/home/149837696,"Apr 1, 2024",Listed,"$390,000",X9425678
https://www.redfin.ca/on/ottawa/104-Stratas-Crt-K2L-3K4/home/171797907,"Sep 30, 2024",Sold (MLS),"$442,000",X9445948
https://www.redfin.ca/on/ottawa/104-Stratas-Crt-K2L-3K4/home/171797907,"Jul 31, 2024",Listed,"$449,999",X9445948
https://www.redfin.ca/on/ottawa/1041-Hydrangea-Ave-K4M-1B2/home/171486950,"Jul 9, 2024",Pending (Sold-Conditional),—,X8481348
https://www.redfin.ca/on/ottawa/1041-Hydrangea-Ave-K4M-1B2/home/171486950,"Jul 5, 2024",Sold (MLS) (Sold),"$968,100",X8481348
https://www.redfin.ca/on/ottawa/1041-Hydrangea-Ave-K4M-1B2/home/171486950,"Jun 26, 2024",Listed (Active),"$979,000",X8481348
https://www.redfin.ca/on/ottawa/1043-Karsh-Dr-K1G-4N2/home/149068067,"Jul 22, 2024",Sold (MLS),"$755,000",X9421737
https://www.redfin.ca/on/ottawa/1043-Karsh-Dr-K1G-4N2/home/149068067,"Apr 16, 2024",Listed,"$774,900",X9421737
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-154/home/150820223,"Mar 30, 2023",Sold (MLS),"$385,000",X9466280
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-154/home/150820223,"Jan 20, 2023",Listed,"$399,900",X9466280
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-184/home/151065780,"Jul 6, 2023",Sold (MLS),"$385,000",X9469541
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-184/home/151065780,"Apr 18, 2023",Listed,"$379,000",X9469541
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-191/home/150820492,"Nov 12, 2024",Sold (MLS) (Closed),"$380,000",X9524036
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-191/home/150820492,"Nov 1, 2024",Listed (Active),"$379,900",X9524036
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-191/home/150820492,"Nov 1, 2024",Delisted,—,X9524036
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-191/home/150820492,"Oct 24, 2024",Listed (Active),"$379,900",X9524036
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-74/home/150820779,"Jul 15, 2024",Sold (MLS),"$373,000",X9427022
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-74/home/150820779,"May 6, 2024",Listed,"$374,999",X9427022
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-74/home/150820779,"Apr 18, 2024",Listed,"$379,999",X9421608
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-82/home/150820204,"May 20, 2024",Sold (MLS),"$384,000",X9422055
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-82/home/150820204,"Apr 17, 2024",Listed,"$394,900",X9422055
https://www.redfin.ca/on/ottawa/1045-Morrison-Dr-K2H-7L2/unit-82/home/150820204,"Apr 4, 2024",Listed,"$399,900",X9430913
https://www.redfin.ca/on/ottawa/1047-Markwick-Cres-K4A-4X5/home/148993804,"Nov 6, 2023",Sold (MLS),"$548,000",X9500154
https://www.redfin.ca/on/ottawa/1047-Markwick-Cres-K4A-4X5/home/148993804,"Sep 13, 2023",Listed,"$550,000",X9500154
https://www.redfin.ca/on/ottawa/1048-Boucher-Cres-K4M-1B3/home/149545573,"May 2, 2025",Sold (MLS) (Closed),"$3,175,000",X12092641
https://www.redfin.ca/on/ottawa/1048-Boucher-Cres-K4M-1B3/home/149545573,"Apr 20, 2025",Listed (Active),"$3,295,000",X12092641
https://www.redfin.ca/on/ottawa/1048-Boucher-Cres-K4M-1B3/home/149545573,"Aug 12, 2020",Price Changed,"$1,150,000",CREA #1
https://www.redfin.ca/on/ottawa/1049-Capreol-St-K4A-4Z9/home/149375287,"Aug 28, 2024",Sold (MLS),"$584,500",X9426850
https://www.redfin.ca/on/ottawa/1049-Capreol-St-K4A-4Z9/home/149375287,"May 9, 2024",Listed,"$589,900",X9426850
https://www.redfin.ca/on/ottawa/105-Artesa-Pvt-K2S-0J8/unit-L/home/148767329,"Nov 29, 2024",Sold (MLS),"$420,000",X9456115
https://www.redfin.ca/on/ottawa/105-Artesa-Pvt-K2S-0J8/unit-L/home/148767329,"Aug 16, 2024",Listed,"$435,000",X9456115
https://www.redfin.ca/on/ottawa/105-Braddock-Pvt-K2J-0E6/home/149310734,"Aug 7, 2024",Sold (MLS),"$577,000",X9435526
https://www.redfin.ca/on/ottawa/105-Braddock-Pvt-K2J-0E6/home/149310734,"May 28, 2024",Listed,"$575,000",X9435526
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1007/home/181613373,"Apr 7, 2025",Sold (MLS) (Closed),"$285,000",X11925274
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1007/home/181613373,"Jan 15, 2025",Listed (Active),"$305,000",X11925274
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1015/home/190713793,"Sep 30, 2024",Sold (MLS),"$240,000",X9425174
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1015/home/190713793,"May 6, 2024",Listed,"$259,900",X9425174
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1017/home/181613455,"Sep 26, 2024",Sold (MLS),"$350,000",X9451198
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1017/home/181613455,"Aug 23, 2024",Listed,"$349,900",X9451198
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1017/home/181613455,"Aug 1, 2024",Relisted (Active),—,X8467092
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1017/home/181613455,"Jul 18, 2024",Pending (Sold-Conditional),—,X8467092
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1017/home/181613455,"Jun 24, 2024",Price Changed,"$372,900",X8467092
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1017/home/181613455,"Jun 21, 2024",Listed (Active),"$750,000",X8467092
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1102/home/181613443,"Feb 27, 2025",Sold (MLS) (Closed),"$345,000",X11439338
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1102/home/181613443,"Nov 28, 2024",Listed (Active),"$350,000",X11439338
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1110/home/181613447,"May 6, 2025",Sold (MLS) (Closed),"$300,000",X12066466
https://www.redfin.ca/on/ottawa/105-Champagne-Ave-S-K1S-4P3/unit-1110/home/181613447,"Apr 7, 2025",Listed (Active),"$305,000",X12066466
